path	license_class	spdx	copyright	flags	binary
api/api-doc/cql_server_test.json	unknown-license			generated	no
api/api-doc/endpoint_snitch_info.json	unknown-license			generated	no
api/api-doc/error_injection.json	unknown-license			generated	no
api/api-doc/failure_detector.json	unknown-license			generated	no
api/api-doc/gossiper.json	unknown-license			generated	no
api/api-doc/hinted_handoff.json	unknown-license			generated	no
api/api-doc/lsa.json	unknown-license			generated	no
api/api-doc/messaging_service.json	unknown-license			generated	no
api/api-doc/metrics.def.json	unknown-license			generated	no
api/api-doc/metrics.json	unknown-license			generated	no
api/api-doc/raft.json	unknown-license			generated	no
api/api-doc/storage_proxy.json	unknown-license			generated	no
api/api-doc/storage_service.json	unknown-license			generated	no
api/api-doc/stream_manager.json	unknown-license			generated	no
api/api-doc/swagger20_header.json	unknown-license			generated	no
api/api-doc/system.json	unknown-license			generated	no
api/api-doc/task_manager.json	unknown-license			generated	no
api/api-doc/task_manager_test.json	unknown-license			generated	no
api/api-doc/tasks.json	unknown-license			generated	no
api/api-doc/utils.json	unknown-license			generated	no
api/api.cc	AGPL-only	AGPL-3.0-or-later	Copyright 2015-present ScyllaDB		no
api/api.hh	AGPL-only	AGPL-3.0-or-later	Copyright 2015-present ScyllaDB		no
api/api_init.hh	AGPL-only	AGPL-3.0-or-later	Copyright 2016 ScylaDB		no
api/authorization_cache.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/authorization_cache.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/cache_service.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/cache_service.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/collectd.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/collectd.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/column_family.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/column_family.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/commitlog.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/commitlog.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/compaction_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/compaction_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/config.cc	AGPL-only	AGPL-3.0-or-later	Copyright 2018-present ScyllaDB		no
api/config.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
api/cql_server_test.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2024-present ScyllaDB		no
api/cql_server_test.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2024-present ScyllaDB		no
api/endpoint_snitch.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/endpoint_snitch.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/error_injection.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
api/error_injection.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
api/failure_detector.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/failure_detector.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
